title,price,image,link,reviews,stars,id
"null","SAR 2,829.51","https://m.media-amazon.com/images/I/81zcUyiNcUL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Lenovo-IdeaPad-Gaming-Everyday-Graphics/dp/B09RND1LP2/ref=sr_1_19?qid=1675263930&s=electronics&sr=1-19","4.2 out of 5 stars 361","4.2 out of 5 stars","B09RND1LP2"
"null","SAR 1,199.00","https://m.media-amazon.com/images/I/61vlCw1FuhL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Acer-Notebook-3-3250U-Graphics-Comfyview/dp/B09TR8NTRL/ref=sr_1_20?qid=1675263930&s=electronics&sr=1-20","4.0 out of 5 stars 4","4.0 out of 5 stars","B09TR8NTRL"
"null","SAR 1,549.00","https://m.media-amazon.com/images/I/81K+kbmGocL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HP-15-dw3072nx-i3-1125G4-Graphics-Chalkboard/dp/B0B1YCLHJN/ref=sr_1_21?qid=1675263930&s=electronics&sr=1-21","4.1 out of 5 stars 6","4.1 out of 5 stars","B0B1YCLHJN"
"null","SAR 899.00","https://m.media-amazon.com/images/I/612tSD2WTpL._AC_UL320_.jpg","https://www.amazon.sa/-/en/ASUS-E410Ma-Bv1248Ws-14-0-Inch-Fhd-Processor-International/dp/B0BBMY8K84/ref=sr_1_22?qid=1675263930&s=electronics&sr=1-22","2.0 out of 5 stars 1","2.0 out of 5 stars","B0BBMY8K84"
"null","SAR 3,949.00","https://m.media-amazon.com/images/I/517A0C2knDL._AC_UL320_.jpg","https://www.amazon.sa/-/en/ASUS-FX506HM-HN017W-Keyboard-International-Warranty/dp/B0B87XC3H5/ref=sr_1_23?qid=1675263930&s=electronics&sr=1-23","5.0 out of 5 stars 9","5.0 out of 5 stars","B0B87XC3H5"
"null","SAR 1,349.00","https://m.media-amazon.com/images/I/619m1AE5JyL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Lenovo-Ideapad-82H700Njad-I3-1115G4-Graphics/dp/B096JX8YT2/ref=sr_1_24?qid=1675263930&s=electronics&sr=1-24","4.8 out of 5 stars 7","4.8 out of 5 stars","B096JX8YT2"
"null","null","null","null","null","null",""
"null","null","null","null","null","null",""
"null","null","null","null","null","null",""
"null","SAR 2,661.83","https://m.media-amazon.com/images/I/51qlONUHWCL._AC_UL320_.jpg","https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0OTEwMzg5Njc0NzA5MTg1OjE2NzUyNjM5MzQ6c3BfYXRmX2Jyb3dzZToyMDA4NTMwOTY2ODI5ODo6MDo6&url=%2FPepisky-Portable-Laptop-Processor-8GB256GB%2Fdp%2FB09TQZKS1N%2Fref%3Dsr_1_25_sspa%3Fqid%3D1675263934%26s%3Delectronics%26sr%3D1-25-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1","null","Shipped from outside KSA","B09TQZKS1N"
"null","SAR 2,704.15","https://m.media-amazon.com/images/I/51iNXWnd5UL._AC_UL320_.jpg","https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0OTEwMzg5Njc0NzA5MTg1OjE2NzUyNjM5MzQ6c3BfYXRmX2Jyb3dzZToyMDA4NTMwOTY2Nzg5ODo6MDo6&url=%2FPepisky-Portable-Business-i5-8279U-Processor%2Fdp%2FB09TR1QZLT%2Fref%3Dsr_1_26_sspa%3Fqid%3D1675263934%26s%3Delectronics%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1","null","Shipped from outside KSA","B09TR1QZLT"
"null","SAR 2,627.21","https://m.media-amazon.com/images/I/61NpHdOcP6L._AC_UL320_.jpg","https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0OTEwMzg5Njc0NzA5MTg1OjE2NzUyNjM5MzQ6c3BfYXRmX2Jyb3dzZToyMDA4NTMwOTY2Nzk5ODo6MDo6&url=%2FPepisky-Portable-Business-i5-8279U-Processor%2Fdp%2FB09TR13172%2Fref%3Dsr_1_27_sspa%3Fqid%3D1675263934%26s%3Delectronics%26sr%3D1-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1","null","Shipped from outside KSA","B09TR13172"
"null","SAR 5,190.35","https://m.media-amazon.com/images/I/51lvVsTJBcL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Lenovo-Latest-ThinkPad-i7-1260P-Anti-Glare/dp/B0B3Y3M68J/ref=sr_1_28?qid=1675263934&s=electronics&sr=1-28","1.0 out of 5 stars 3","1.0 out of 5 stars","B0B3Y3M68J"
"null","SAR 2,299.00","https://m.media-amazon.com/images/I/51AU3uqZUrL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HUAWEI-Multi-screen-Collaboration-Fingerprint-NOBELD-WDH9D/dp/B09Z4GPJ7G/ref=sr_1_29?qid=1675263934&s=electronics&sr=1-29","4.5 out of 5 stars 25","4.5 out of 5 stars","B09Z4GPJ7G"
"null","SAR 3,799.00","https://m.media-amazon.com/images/I/81DgD55N5jL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HP-Laptop-15s-fq5001nx-Intel%C2%AE-Windows/dp/B0BGX81WZ5/ref=sr_1_30?qid=1675263934&s=electronics&sr=1-30","3.8 out of 5 stars 16","3.8 out of 5 stars","B0BGX81WZ5"
"null","null","null","null","null","null",""
